Date,Crop,Price,MarketDemand
2025-09-01,Wheat,25,400
2025-09-02,Wheat,26,420
2025-09-03,Wheat,24,410
2025-09-04,Wheat,27,430
2025-09-05,Wheat,25,415
2025-09-06,Wheat,26,425
2025-09-07,Wheat,27,430
2025-09-08,Wheat,28,440
2025-09-09,Wheat,27,435
2025-09-10,Wheat,26,425
2025-09-11,Wheat,25,420
2025-09-12,Wheat,26,430
2025-09-13,Wheat,27,435
2025-09-14,Wheat,28,440
2025-09-15,Wheat,29,450
2025-09-16,Wheat,28,445
2025-09-17,Wheat,27,440
2025-09-18,Wheat,26,430
2025-09-19,Wheat,25,420
2025-09-20,Wheat,24,415
2025-09-01,Maize,20,300
2025-09-02,Maize,21,320
2025-09-03,Maize,22,310
2025-09-04,Maize,23,330
2025-09-05,Maize,22,325
2025-09-06,Maize,21,315
2025-09-07,Maize,20,305
2025-09-08,Maize,21,310
2025-09-09,Maize,22,320
2025-09-10,Maize,23,330
2025-09-11,Maize,22,325
2025-09-12,Maize,21,315
2025-09-13,Maize,20,305
2025-09-14,Maize,21,310
2025-09-15,Maize,22,320
2025-09-16,Maize,23,330
2025-09-17,Maize,22,325
2025-09-18,Maize,21,315
2025-09-19,Maize,20,305
2025-09-20,Maize,21,310
2025-09-01,Niger Seed,50,150
2025-09-02,Niger Seed,52,160
2025-09-03,Niger Seed,51,155
2025-09-04,Niger Seed,53,165
2025-09-05,Niger Seed,52,160
2025-09-06,Niger Seed,50,150
2025-09-07,Niger Seed,51,155
2025-09-08,Niger Seed,52,160
2025-09-09,Niger Seed,53,165
2025-09-10,Niger Seed,54,170
2025-09-11,Niger Seed,52,160
2025-09-12,Niger Seed,50,150
2025-09-13,Niger Seed,51,155
2025-09-14,Niger Seed,52,160
2025-09-15,Niger Seed,53,165
2025-09-16,Niger Seed,54,170
2025-09-17,Niger Seed,55,175
2025-09-18,Niger Seed,53,165
2025-09-19,Niger Seed,52,160
2025-09-20,Niger Seed,51,155
2025-09-01,Paddy,30,500
2025-09-02,Paddy,31,520
2025-09-03,Paddy,32,510
2025-09-04,Paddy,33,530
2025-09-05,Paddy,32,515
2025-09-06,Paddy,31,525
2025-09-07,Paddy,30,530
2025-09-08,Paddy,31,540
2025-09-09,Paddy,32,535
2025-09-10,Paddy,33,525
2025-09-11,Paddy,32,520
2025-09-12,Paddy,31,530
2025-09-13,Paddy,30,535
2025-09-14,Paddy,31,540
2025-09-15,Paddy,32,550
2025-09-16,Paddy,33,545
2025-09-17,Paddy,32,540
2025-09-18,Paddy,31,530
2025-09-19,Paddy,30,520
2025-09-20,Paddy,31,515
2025-09-01,Pea,40,200
2025-09-02,Pea,41,210
2025-09-03,Pea,42,205
2025-09-04,Pea,43,215
2025-09-05,Pea,42,210
2025-09-06,Pea,41,205
2025-09-07,Pea,40,200
2025-09-08,Pea,41,205
2025-09-09,Pea,42,210
2025-09-10,Pea,43,215
2025-09-11,Pea,42,210
2025-09-12,Pea,41,205
2025-09-13,Pea,40,200
2025-09-14,Pea,41,205
2025-09-15,Pea,42,210
2025-09-16,Pea,43,215
2025-09-17,Pea,44,220
2025-09-18,Pea,42,210
2025-09-19,Pea,41,205
2025-09-20,Pea,40,200
2025-09-01,Potato,15,600
2025-09-02,Potato,16,620
2025-09-03,Potato,15,610
2025-09-04,Potato,17,630
2025-09-05,Potato,16,615
2025-09-06,Potato,15,625
2025-09-07,Potato,16,630
2025-09-08,Potato,17,640
2025-09-09,Potato,16,635
2025-09-10,Potato,15,625
2025-09-11,Potato,16,620
2025-09-12,Potato,17,630
2025-09-13,Potato,16,635
2025-09-14,Potato,15,640
2025-09-15,Potato,16,650
2025-09-16,Potato,17,645
2025-09-17,Potato,16,640
2025-09-18,Potato,15,630
2025-09-19,Potato,16,620
2025-09-20,Potato,17,615
2025-09-01,Pulses,60,100
2025-09-02,Pulses,62,105
2025-09-03,Pulses,61,102
2025-09-04,Pulses,63,108
2025-09-05,Pulses,62,105
2025-09-06,Pulses,61,102
2025-09-07,Pulses,60,100
2025-09-08,Pulses,61,102
2025-09-09,Pulses,62,105
2025-09-10,Pulses,63,108
2025-09-11,Pulses,62,105
2025-09-12,Pulses,61,102
2025-09-13,Pulses,60,100
2025-09-14,Pulses,61,102
2025-09-15,Pulses,62,105
2025-09-16,Pulses,63,108
2025-09-17,Pulses,64,110
2025-09-18,Pulses,62,105
2025-09-19,Pulses,61,102
2025-09-20,Pulses,60,100
2025-09-01,Sugarcane,18,350
2025-09-02,Sugarcane,19,360
